Feature,Coefficient,Class
Marital Status_1,0.21123454822371304,Dropout
Marital Status_2,0.11162789677978899,Dropout
Marital Status_3,-0.19713198331858528,Dropout
Marital Status_4,-0.3555392056402121,Dropout
Marital Status_5,0.1067213387059704,Dropout
Marital Status_6,0.3461044325063709,Dropout
Application mode_1,-0.008855162326000232,Dropout
Application mode_2,-0.10246305315309605,Dropout
Application mode_5,-0.1827630771922392,Dropout
Application mode_7,0.560963084869648,Dropout
Application mode_10,0.33556114987772045,Dropout
Application mode_15,-1.0689146079293486,Dropout
Application mode_16,-0.3277266210235459,Dropout
Application mode_17,0.15533381304403598,Dropout
Application mode_18,0.2584591389938268,Dropout
Application mode_26,0.08117628369391715,Dropout
Application mode_27,0.46326308036230396,Dropout
Application mode_39,0.2982003019081801,Dropout
Application mode_42,0.5015687000452309,Dropout
Application mode_43,-0.13216065359545934,Dropout
Application mode_44,-0.3139588760052833,Dropout
Application mode_51,0.15883149781401001,Dropout
Application mode_53,-0.313106317206011,Dropout
Application mode_57,-0.14039165492083677,Dropout
Course_33,0.189843169134496,Dropout
Course_171,-1.1807864088289177,Dropout
Course_8014,-0.1575651318883408,Dropout
Course_9003,-0.48323101055539747,Dropout
Course_9070,-0.06480948795391175,Dropout
Course_9085,-0.13632946755719585,Dropout
Course_9119,0.006810386683712965,Dropout
Course_9130,0.7220337405344784,Dropout
Course_9147,-0.2128578970221128,Dropout
Course_9238,-0.30451831638385524,Dropout
Course_9254,0.41752295383514554,Dropout
Course_9500,-0.08483932278387618,Dropout
Course_9556,0.24916684653516227,Dropout
Course_9670,-0.06542936156451734,Dropout
Course_9773,0.2623428740696433,Dropout
Course_9853,0.8824523208891507,Dropout
Course_9991,0.18321114011337072,Dropout
Previous qualification_1,-0.09449836977079216,Dropout
Previous qualification_2,0.9235157529727978,Dropout
Previous qualification_3,0.2729778074057132,Dropout
Previous qualification_4,0.49752631087218646,Dropout
Previous qualification_5,0.0012590255153272247,Dropout
Previous qualification_6,-0.21005520490401858,Dropout
Previous qualification_9,0.19475298506889466,Dropout
Previous qualification_10,-0.037688946452517066,Dropout
Previous qualification_12,-0.3869378109711814,Dropout
Previous qualification_14,0.00287278743055463,Dropout
Previous qualification_15,-0.19524515985434365,Dropout
Previous qualification_19,0.16084236982539432,Dropout
Previous qualification_38,-0.24400535225646852,Dropout
Previous qualification_39,0.06156812310191451,Dropout
Previous qualification_40,-0.32976585604052777,Dropout
Previous qualification_42,-0.20771814973228936,Dropout
Previous qualification_43,-0.1863832849535938,Dropout
Nacionality_1,0.31579629796801023,Dropout
Nacionality_2,-0.03393328314029996,Dropout
Nacionality_6,-0.3978060225320581,Dropout
Nacionality_11,-0.12326016787742099,Dropout
Nacionality_13,-0.0029971319633320366,Dropout
Nacionality_14,-0.030397160474651765,Dropout
Nacionality_21,0.361542776846911,Dropout
Nacionality_22,-0.22569994893083245,Dropout
Nacionality_24,0.14092123107805188,Dropout
Nacionality_25,-0.5415155389922698,Dropout
Nacionality_26,-0.5557151449062041,Dropout
Nacionality_32,-0.02328166559160857,Dropout
Nacionality_41,0.12367106015958054,Dropout
Nacionality_62,-0.014654719190710154,Dropout
Nacionality_100,0.5136600810382035,Dropout
Nacionality_101,0.3412946970595948,Dropout
Nacionality_103,0.20585984656928547,Dropout
Nacionality_105,0.21640044439986675,Dropout
Nacionality_108,-0.04686862426306709,Dropout
Mother's qualification_1,-0.07477870264951321,Dropout
Mother's qualification_2,-0.6706260245429426,Dropout
Mother's qualification_3,-0.3424950758644552,Dropout
Mother's qualification_4,-0.806956747998954,Dropout
Mother's qualification_5,-0.170798188157384,Dropout
Mother's qualification_6,-0.24410512236942428,Dropout
Mother's qualification_9,0.502703928526672,Dropout
Mother's qualification_10,0.4441278980197856,Dropout
Mother's qualification_11,0.20674564897865674,Dropout
Mother's qualification_12,0.4124970472731295,Dropout
Mother's qualification_14,0.001175762140771709,Dropout
Mother's qualification_18,0.19211990661361927,Dropout
Mother's qualification_19,-0.2154626276024428,Dropout
Mother's qualification_22,-0.014615007565091145,Dropout
Mother's qualification_26,-0.3072938091552584,Dropout
Mother's qualification_29,-0.09458540626836158,Dropout
Mother's qualification_30,-0.043765912790613704,Dropout
Mother's qualification_34,0.6873215968721059,Dropout
Mother's qualification_35,0.20394603645087994,Dropout
Mother's qualification_36,0.2557481344044861,Dropout
Mother's qualification_37,0.03769393314392794,Dropout
Mother's qualification_38,-0.0010978454751294005,Dropout
Mother's qualification_39,-0.44919509307746286,Dropout
Mother's qualification_40,0.36799929782447277,Dropout
Mother's qualification_41,0.1073242859360679,Dropout
Mother's qualification_42,0.03965230999281315,Dropout
Mother's qualification_43,-0.07250914831928067,Dropout
Mother's qualification_44,0.2722459529159654,Dropout
Father's qualification_1,-0.31009676877144504,Dropout
Father's qualification_2,-0.05538807318647477,Dropout
Father's qualification_3,-0.032190754878537585,Dropout
Father's qualification_4,0.2749763238958309,Dropout
Father's qualification_5,0.5760177804911757,Dropout
Father's qualification_6,0.05814206865117954,Dropout
Father's qualification_9,-0.4189620958812453,Dropout
Father's qualification_10,0.3579123385802116,Dropout
Father's qualification_11,-0.2337489736023684,Dropout
Father's qualification_12,-0.118670821369798,Dropout
Father's qualification_14,0.08139935804111961,Dropout
Father's qualification_18,0.19211990661361927,Dropout
Father's qualification_19,-0.3732874882528404,Dropout
Father's qualification_20,0.039552570650287944,Dropout
Father's qualification_22,0.7236212004678545,Dropout
Father's qualification_25,0.05593207753066762,Dropout
Father's qualification_26,0.0006353541320272305,Dropout
Father's qualification_27,0.024915920386894566,Dropout
Father's qualification_29,0.1924161093760403,Dropout
Father's qualification_30,-0.5155873230577422,Dropout
Father's qualification_31,0.39887906086966823,Dropout
Father's qualification_34,0.3020527897753449,Dropout
Father's qualification_35,0.20394603645087994,Dropout
Father's qualification_36,-0.16437273720037224,Dropout
Father's qualification_37,-0.24412508385358234,Dropout
Father's qualification_38,-0.39073264522146534,Dropout
Father's qualification_39,-0.1901618232361716,Dropout
Father's qualification_40,0.5814960027223868,Dropout
Father's qualification_41,-0.20232912510932088,Dropout
Father's qualification_42,-0.14707521488603,Dropout
Father's qualification_43,-0.45658997234992293,Dropout
Father's qualification_44,0.012321029479162287,Dropout
Mother's occupation_0,1.2560168306989683,Dropout
Mother's occupation_1,0.2879146893037378,Dropout
Mother's occupation_2,0.3786528240786741,Dropout
Mother's occupation_3,0.10678474100191773,Dropout
Mother's occupation_4,0.1878052198736679,Dropout
Mother's occupation_5,0.20223841488575384,Dropout
Mother's occupation_6,-0.1363840481102137,Dropout
Mother's occupation_7,0.31050573994430325,Dropout
Mother's occupation_8,0.5615720100761022,Dropout
Mother's occupation_9,0.05568589167811551,Dropout
Mother's occupation_10,-0.23827738153741304,Dropout
Mother's occupation_90,0.5041738082837189,Dropout
Mother's occupation_99,0.046755438852208835,Dropout
Mother's occupation_122,-0.0648945752914014,Dropout
Mother's occupation_123,0.36641519202984824,Dropout
Mother's occupation_131,-0.1306326781238046,Dropout
Mother's occupation_132,-0.04858206479554071,Dropout
Mother's occupation_134,-0.472937451001679,Dropout
Mother's occupation_141,-0.24610849338593452,Dropout
Mother's occupation_143,-0.10684451939910167,Dropout
Mother's occupation_144,-0.3760667423235767,Dropout
Mother's occupation_151,-0.2582309281652198,Dropout
Mother's occupation_152,-0.0037148389589456788,Dropout
Mother's occupation_153,-0.008401250882257133,Dropout
Mother's occupation_171,-0.29538234131740426,Dropout
Mother's occupation_173,-0.08824243392454575,Dropout
Mother's occupation_175,-0.10587432531489217,Dropout
Mother's occupation_191,-1.1443088799222785,Dropout
Mother's occupation_192,-0.33123977792637443,Dropout
Mother's occupation_193,0.08740396611640852,Dropout
Mother's occupation_194,-0.07278500918579714,Dropout
Father's occupation_0,0.22334732466653504,Dropout
Father's occupation_1,0.22919277354300122,Dropout
Father's occupation_2,-0.09858202848688975,Dropout
Father's occupation_3,0.3052396056720684,Dropout
Father's occupation_4,0.568849215686005,Dropout
Father's occupation_5,0.10788963041156459,Dropout
Father's occupation_6,-0.11630977329436218,Dropout
Father's occupation_7,0.20598354004046662,Dropout
Father's occupation_8,0.20944996368299856,Dropout
Father's occupation_9,0.3919842716706,Dropout
Father's occupation_10,0.19940731677428836,Dropout
Father's occupation_90,1.102569581081353,Dropout
Father's occupation_99,-0.13775647106239547,Dropout
Father's occupation_101,-0.01366545997105648,Dropout
Father's occupation_102,-0.14712846315387182,Dropout
Father's occupation_103,0.4141634827957888,Dropout
Father's occupation_112,-0.09627011321151038,Dropout
Father's occupation_122,-0.07300582748188401,Dropout
Father's occupation_123,-0.3390714924327462,Dropout
Father's occupation_131,-0.06606484956131696,Dropout
Father's occupation_134,-0.3696133063661126,Dropout
Father's occupation_135,-0.04924783829480052,Dropout
Father's occupation_141,-0.019627320404183926,Dropout
Father's occupation_143,-0.005567161385456334,Dropout
Father's occupation_144,-0.09548653315837333,Dropout
Father's occupation_151,-0.05799271738080528,Dropout
Father's occupation_152,-0.03969734697127509,Dropout
Father's occupation_153,-0.006797419540997349,Dropout
Father's occupation_154,-0.017802024984728573,Dropout
Father's occupation_161,-0.19758057292829892,Dropout
Father's occupation_163,-0.5218815575782902,Dropout
Father's occupation_171,-0.2868630519043094,Dropout
Father's occupation_172,-0.09687193511646851,Dropout
Father's occupation_175,-0.08479157150293741,Dropout
Father's occupation_181,-0.13388096078233774,Dropout
Father's occupation_182,-0.13443518826891837,Dropout
Father's occupation_183,-0.12305789834553116,Dropout
Father's occupation_192,-0.14205053559001338,Dropout
Father's occupation_193,-0.31719174191544336,Dropout
Father's occupation_194,0.06196208342258701,Dropout
Father's occupation_195,-0.008730601114894982,Dropout
Application order,0.06962944112982093,Dropout
Previous qualification (grade),0.034242950176797786,Dropout
Admission grade,-0.016369990714114494,Dropout
Age at enrollment,0.13583593749297207,Dropout
Curricular units 1st sem (credited),0.442680202491569,Dropout
Curricular units 1st sem (enrolled),0.8047469534080106,Dropout
Curricular units 1st sem (evaluations),-0.0995162678072795,Dropout
Curricular units 1st sem (approved),-1.7378209789667722,Dropout
Curricular units 1st sem (grade),-0.30335323401629066,Dropout
Curricular units 1st sem (without evaluations),-0.1708268714028713,Dropout
Unemployment rate,0.269185833739263,Dropout
Inflation rate,-0.02091421843075056,Dropout
GDP,0.054658464396389474,Dropout
Daytime/evening attendance,0.19737101903202212,Dropout
Displaced,0.25716285955237755,Dropout
Educational special needs,-0.06196349019028135,Dropout
Debtor,0.4971653291614942,Dropout
Tuition fees up to date,-1.7870573163482064,Dropout
Gender,0.3523745290892654,Dropout
